transaction_id,customer_id,date,amount,transaction_type,merchant,category,channel,recurring,description
txn_cust_001_0001,cust_001,2025-07-04,58000.0,credit,School Teacher Salary,Salary,NEFT,True,Salary credit Jul 2025
txn_cust_001_0002,cust_001,2025-07-12,12000.79,debit,Landlord Transfer,Rent,UPI,True,Rent payment - Landlord Transfer
txn_cust_001_0003,cust_001,2025-07-26,5550.21,debit,Local Kirana,Groceries,UPI,True,Groceries payment - Local Kirana
txn_cust_001_0004,cust_001,2025-07-07,2157.17,debit,MPEZ,Utilities,NEFT,True,Utilities payment - MPEZ
txn_cust_001_0005,cust_001,2025-07-24,486.32,debit,Ola,Transport,NEFT,False,Transport payment - Ola
txn_cust_001_0006,cust_001,2025-07-18,467.06,debit,Ola,Transport,Cash,False,Transport payment - Ola
txn_cust_001_0007,cust_001,2025-07-23,348.07,debit,Auto Stand,Transport,UPI,False,Transport payment - Auto Stand
txn_cust_001_0008,cust_001,2025-07-09,624.83,debit,MedPlus,Healthcare,Debit Card,False,Healthcare payment - MedPlus
txn_cust_001_0009,cust_001,2025-07-08,1327.19,debit,Byju's,Education,Cash,True,Education payment - Byju's
txn_cust_001_0010,cust_001,2025-07-13,1919.28,debit,Myntra,Shopping,Cash,False,Shopping payment - Myntra
txn_cust_001_0011,cust_001,2025-07-08,271.12,debit,PVR Cinema,Entertainment,UPI,False,Entertainment payment - PVR Cinema
txn_cust_001_0012,cust_001,2025-07-24,100.0,debit,PVR Cinema,Entertainment,NEFT,False,Entertainment payment - PVR Cinema
txn_cust_001_0013,cust_001,2025-07-27,139.6,debit,Netflix,Entertainment,UPI,False,Entertainment payment - Netflix
txn_cust_001_0014,cust_001,2025-07-07,9499.09,debit,HDFC Bank EMI,EMI,UPI,True,EMI payment - HDFC Bank EMI
txn_cust_001_0015,cust_001,2025-07-17,4269.28,debit,SBI RD,Savings,Cash,True,Savings payment - SBI RD
txn_cust_001_0016,cust_001,2025-07-16,550.07,debit,PhonePe,UPI Transfer,Debit Card,False,UPI Transfer payment - PhonePe
txn_cust_001_0017,cust_001,2025-07-27,414.24,debit,PhonePe,UPI Transfer,NEFT,False,UPI Transfer payment - PhonePe
txn_cust_001_0018,cust_001,2025-07-19,377.97,debit,Google Pay,UPI Transfer,Debit Card,False,UPI Transfer payment - Google Pay
txn_cust_001_0019,cust_001,2025-08-07,58000.0,credit,School Teacher Salary,Salary,NEFT,True,Salary credit Aug 2025
txn_cust_001_0020,cust_001,2025-08-11,11999.84,debit,Landlord Transfer,Rent,UPI,True,Rent payment - Landlord Transfer
txn_cust_001_0021,cust_001,2025-08-14,5513.41,debit,Big Bazaar,Groceries,Debit Card,True,Groceries payment - Big Bazaar
txn_cust_001_0022,cust_001,2025-08-06,2250.65,debit,MPEZ,Utilities,Debit Card,True,Utilities payment - MPEZ
txn_cust_001_0023,cust_001,2025-08-24,1331.46,debit,Auto Stand,Transport,NEFT,False,Transport payment - Auto Stand
txn_cust_001_0024,cust_001,2025-08-08,150.53,debit,MedPlus,Healthcare,Debit Card,False,Healthcare payment - MedPlus
txn_cust_001_0025,cust_001,2025-08-22,394.05,debit,City Hospital,Healthcare,Debit Card,False,Healthcare payment - City Hospital
txn_cust_001_0026,cust_001,2025-08-11,1288.5,debit,Byju's,Education,Cash,True,Education payment - Byju's
txn_cust_001_0027,cust_001,2025-08-08,2572.17,debit,Ajio,Shopping,NEFT,False,Shopping payment - Ajio
txn_cust_001_0028,cust_001,2025-08-17,100.0,debit,Netflix,Entertainment,Cash,False,Entertainment payment - Netflix
txn_cust_001_0029,cust_001,2025-08-20,100.0,debit,PVR Cinema,Entertainment,UPI,False,Entertainment payment - PVR Cinema
txn_cust_001_0030,cust_001,2025-08-25,425.63,debit,Netflix,Entertainment,Debit Card,False,Entertainment payment - Netflix
txn_cust_001_0031,cust_001,2025-08-13,9500.11,debit,HDFC Bank EMI,EMI,NEFT,True,EMI payment - HDFC Bank EMI
txn_cust_001_0032,cust_001,2025-08-18,4547.16,debit,SBI RD,Savings,Debit Card,True,Savings payment - SBI RD
txn_cust_001_0033,cust_001,2025-08-07,514.9,debit,Google Pay,UPI Transfer,NEFT,False,UPI Transfer payment - Google Pay
txn_cust_001_0034,cust_001,2025-08-08,302.15,debit,Google Pay,UPI Transfer,NEFT,False,UPI Transfer payment - Google Pay
txn_cust_001_0035,cust_001,2025-08-20,219.38,debit,PhonePe,UPI Transfer,Debit Card,False,UPI Transfer payment - PhonePe
txn_cust_001_0036,cust_001,2025-09-05,58000.0,credit,School Teacher Salary,Salary,NEFT,True,Salary credit Sep 2025
txn_cust_001_0037,cust_001,2025-09-03,11999.57,debit,Landlord Transfer,Rent,Debit Card,True,Rent payment - Landlord Transfer
txn_cust_001_0038,cust_001,2025-09-12,6046.28,debit,DMart,Groceries,UPI,True,Groceries payment - DMart
txn_cust_001_0039,cust_001,2025-09-10,1939.35,debit,BSNL,Utilities,UPI,True,Utilities payment - BSNL
txn_cust_001_0040,cust_001,2025-09-27,1437.38,debit,BRTS,Transport,NEFT,False,Transport payment - BRTS
txn_cust_001_0041,cust_001,2025-09-24,100.0,debit,City Hospital,Healthcare,NEFT,False,Healthcare payment - City Hospital
txn_cust_001_0042,cust_001,2025-09-16,1461.66,debit,Byju's,Education,NEFT,True,Education payment - Byju's
txn_cust_001_0043,cust_001,2025-09-12,1506.76,debit,Amazon,Shopping,Debit Card,False,Shopping payment - Amazon
txn_cust_001_0044,cust_001,2025-09-06,460.92,debit,Myntra,Shopping,NEFT,False,Shopping payment - Myntra
txn_cust_001_0045,cust_001,2025-09-05,985.95,debit,Amazon,Shopping,UPI,False,Shopping payment - Amazon
txn_cust_001_0046,cust_001,2025-09-03,100.0,debit,Netflix,Entertainment,UPI,False,Entertainment payment - Netflix
txn_cust_001_0047,cust_001,2025-09-10,155.71,debit,Netflix,Entertainment,UPI,False,Entertainment payment - Netflix
txn_cust_001_0048,cust_001,2025-09-10,224.37,debit,PVR Cinema,Entertainment,Cash,False,Entertainment payment - PVR Cinema
txn_cust_001_0049,cust_001,2025-09-09,9499.7,debit,HDFC Bank EMI,EMI,Cash,True,EMI payment - HDFC Bank EMI
